operator_id,missed_calls,avg_waiting_time,avg_call_duration,outbound_calls,inbound_calls,internal_calls,total_calls_count,total_calls,missed_call_rate,outbound_activity,score_missed,score_wait,score_outbound,inefficiency_score
890402,81,106.52631578947368,662.4444444444445,116,55,1,1114,171,0.47368421052631576,0.6783625730994152,0.47368421052631576,0.2305764411027569,0.32163742690058483,0.3657894736842105
890404,90,115.15789473684211,668.0263157894736,121,69,5,1252,190,0.47368421052631576,0.6368421052631579,0.47368421052631576,0.24925951241740715,0.3631578947368421,0.3785566188197767
890406,83,97.20348837209302,671.8488372093024,107,65,2,1034,172,0.48255813953488375,0.622093023255814,0.48255813953488375,0.21039716097855632,0.37790697674418605,0.3716041226215645
890410,82,128.4262295081967,347.0,119,3,5,746,122,0.6721311475409836,0.9754098360655737,0.6721311475409836,0.27797885174934356,0.024590163934426257,0.437046696472926
890412,69,104.81981981981981,356.4864864864865,103,8,1,583,111,0.6216216216216216,0.9279279279279279,0.6216216216216216,0.22688272688272687,0.07207207207207211,0.401030576030576
890416,67,127.25,311.7980769230769,104,0,0,631,104,0.6442307692307693,1.0,0.6442307692307693,0.2754329004329004,0.0,0.41851689976689976
890420,45,121.52459016393442,339.3114754098361,61,0,0,344,61,0.7377049180327869,1.0,0.7377049180327869,0.2630402384500745,0.0,0.46091654247391955
890422,33,109.43137254901961,186.15686274509804,51,0,0,261,51,0.6470588235294118,1.0,0.6470588235294118,0.2368644427467957,0.0,0.4064319667260844
890582,18,30.71232876712329,84.53424657534246,29,44,4,181,73,0.2465753424657534,0.3972602739726027,0.2465753424657534,0.06647690209334045,0.6027397260273972,0.23696554586965543
890618,23,59.1219512195122,304.4634146341463,48,34,0,306,82,0.2804878048780488,0.5853658536585366,0.2804878048780488,0.12796959138422553,0.41463414634146345,0.24722838137472286
891152,37,61.65,401.4,80,0,0,248,80,0.4625,1.0,0.4625,0.13344155844155844,0.0,0.27795454545454545
891154,56,66.92592592592592,344.320987654321,81,0,1,244,81,0.691358024691358,1.0,0.691358024691358,0.14486131152797818,0.0,0.39638047138047133
891156,7,25.666666666666668,419.1333333333333,15,0,0,24,15,0.4666666666666667,1.0,0.4666666666666667,0.05555555555555556,0.0,0.25277777777777777
891158,40,40.388888888888886,408.1222222222222,90,0,1,229,90,0.4444444444444444,1.0,0.4444444444444444,0.08742183742183741,0.0,0.2528198653198653
891160,32,67.58666666666667,278.3466666666667,75,0,0,261,75,0.4266666666666667,1.0,0.4266666666666667,0.1462914862914863,0.0,0.26453535353535357
891162,19,46.743589743589745,364.7692307692308,39,0,0,114,39,0.48717948717948717,1.0,0.48717948717948717,0.10117660117660118,0.0,0.279001554001554
891166,38,42.37777777777778,408.65555555555557,90,0,0,218,90,0.4222222222222222,1.0,0.4222222222222222,0.09172679172679173,0.0,0.24321548821548822
891170,22,87.35,366.075,40,0,0,175,40,0.55,1.0,0.55,0.18906926406926405,0.0,0.34117424242424244
891192,0,32.0,1306.0,1,0,False,1,1,0.0,1.0,0.0,0.06926406926406926,0.0,0.024242424242424242
891250,0,18.0,110.0,1,0,False,2,1,0.0,1.0,0.0,0.03896103896103896,0.0,0.013636363636363636
891252,8,64.0,279.2,15,0,0,98,15,0.5333333333333333,1.0,0.5333333333333333,0.13852813852813853,0.0,0.3151515151515151
891254,0,26.0,79.0,0,2,0,2,2,0.0,0.0,0.0,0.05627705627705628,1.0,0.16969696969696968
891410,128,89.58490566037736,392.20283018867923,153,59,47,1813,212,0.6037735849056604,0.7216981132075472,0.6037735849056604,0.193906722208609,0.2783018867924528,0.41149942824471125
891414,123,57.97142857142857,355.8857142857143,160,50,54,1703,210,0.5857142857142857,0.7619047619047619,0.5857142857142857,0.12547928262213975,0.23809523809523814,0.3724891774891775
